@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.38-5.74]\'','\'(0.15-0.25]\'','\'(3.44-3.68]\'',1.3,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-0.15]\'','\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(-inf-4.66]\'','\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.3,Iris-setosa
'\'(5.02-5.38]\'','\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'','\'(0.25-0.55]\'','\'(3.44-3.68]\'',1.3,Iris-setosa
'\'(-inf-4.66]\'','\'(0.25-0.55]\'','\'(2.24-2.48]\'',1.3,Iris-setosa
'\'(-inf-4.66]\'','\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.3,Iris-setosa
'\'(4.66-5.02]\'','\'(0.55-1.25]\'','\'(3.44-3.68]\'',1.6,Iris-setosa
'\'(5.02-5.38]\'','\'(0.25-0.55]\'','\'(3.68-3.92]\'',1.9,Iris-setosa
'\'(4.66-5.02]\'','\'(0.25-0.55]\'','\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(5.02-5.38]\'','\'(0.15-0.25]\'','\'(3.68-3.92]\'',1.6,Iris-setosa
'\'(-inf-4.66]\'','\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(5.02-5.38]\'','\'(0.15-0.25]\'','\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'','\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.4,Iris-setosa
'\'(6.82-7.18]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.7,Iris-versicolor
'\'(6.1-6.46]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.5,Iris-versicolor
'\'(6.82-7.18]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.9,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.24-2.48]\'',4,Iris-versicolor
'\'(6.46-6.82]\'','\'(1.35-1.55]\'','\'(2.72-2.96]\'',4.6,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',4.5,Iris-versicolor
'\'(6.1-6.46]\'','\'(1.55-1.85]\'','\'(3.2-3.44]\'',4.7,Iris-versicolor
'\'(4.66-5.02]\'','\'(0.55-1.25]\'','\'(2.24-2.48]\'',3.3,Iris-versicolor
'\'(6.46-6.82]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',4.6,Iris-versicolor
'\'(5.02-5.38]\'','\'(1.35-1.55]\'','\'(2.48-2.72]\'',3.9,Iris-versicolor
'\'(4.66-5.02]\'','\'(0.55-1.25]\'','\'(-inf-2.24]\'',3.5,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.2,Iris-versicolor
'\'(5.74-6.1]\'','\'(0.55-1.25]\'','\'(-inf-2.24]\'',4,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.35-1.55]\'','\'(2.72-2.96]\'',4.7,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',3.6,Iris-versicolor
'\'(6.46-6.82]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.4,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.5,Iris-versicolor
'\'(5.74-6.1]\'','\'(0.55-1.25]\'','\'(2.48-2.72]\'',4.1,Iris-versicolor
'\'(6.1-6.46]\'','\'(1.35-1.55]\'','\'(-inf-2.24]\'',4.5,Iris-versicolor
'\'(5.38-5.74]\'','\'(0.55-1.25]\'','\'(2.48-2.72]\'',3.9,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',4.8,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',4,Iris-versicolor
'\'(6.1-6.46]\'','\'(1.35-1.55]\'','\'(2.48-2.72]\'',4.9,Iris-versicolor
'\'(5.74-6.1]\'','\'(0.55-1.25]\'','\'(2.72-2.96]\'',4.7,Iris-versicolor
'\'(6.1-6.46]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',4.3,Iris-versicolor
'\'(6.46-6.82]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.4,Iris-versicolor
'\'(6.46-6.82]\'','\'(1.35-1.55]\'','\'(2.72-2.96]\'',4.8,Iris-versicolor
'\'(6.46-6.82]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',5,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.35-1.55]\'','\'(2.72-2.96]\'',4.5,Iris-versicolor
'\'(5.38-5.74]\'','\'(0.55-1.25]\'','\'(2.48-2.72]\'',3.5,Iris-versicolor
'\'(5.38-5.74]\'','\'(0.55-1.25]\'','\'(2.24-2.48]\'',3.8,Iris-versicolor
'\'(5.38-5.74]\'','\'(0.55-1.25]\'','\'(2.24-2.48]\'',3.7,Iris-versicolor
'\'(5.74-6.1]\'','\'(0.55-1.25]\'','\'(2.48-2.72]\'',3.9,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.55-1.85]\'','\'(2.48-2.72]\'',5.1,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.5,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.55-1.85]\'','\'(3.2-3.44]\'',4.5,Iris-versicolor
'\'(6.46-6.82]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.7,Iris-versicolor
'\'(6.1-6.46]\'','\'(1.25-1.35]\'','\'(2.24-2.48]\'',4.4,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.96-3.2]\'',4.1,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.48-2.72]\'',4,Iris-versicolor
'\'(5.38-5.74]\'','\'(0.55-1.25]\'','\'(2.48-2.72]\'',4.4,Iris-versicolor
'\'(5.74-6.1]\'','\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.6,Iris-versicolor
'\'(5.74-6.1]\'','\'(0.55-1.25]\'','\'(2.48-2.72]\'',4,Iris-versicolor
'\'(4.66-5.02]\'','\'(0.55-1.25]\'','\'(2.24-2.48]\'',3.3,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.48-2.72]\'',4.2,Iris-versicolor
'\'(5.38-5.74]\'','\'(0.55-1.25]\'','\'(2.96-3.2]\'',4.2,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',4.2,Iris-versicolor
'\'(6.1-6.46]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',4.3,Iris-versicolor
'\'(5.02-5.38]\'','\'(0.55-1.25]\'','\'(2.48-2.72]\'',3,Iris-versicolor
'\'(5.38-5.74]\'','\'(1.25-1.35]\'','\'(2.72-2.96]\'',4.1,Iris-versicolor
'\'(6.1-6.46]\'','\'(2.25-inf)\'','\'(3.2-3.44]\'',6,Iris-virginica
'\'(5.74-6.1]\'','\'(1.85-2.05]\'','\'(2.48-2.72]\'',5.1,Iris-virginica
'\'(6.82-7.18]\'','\'(2.05-2.25]\'','\'(2.96-3.2]\'',5.9,Iris-virginica
'\'(6.1-6.46]\'','\'(1.55-1.85]\'','\'(2.72-2.96]\'',5.6,Iris-virginica
'\'(6.46-6.82]\'','\'(2.05-2.25]\'','\'(2.96-3.2]\'',5.8,Iris-virginica
'\'(7.54-inf)\'','\'(2.05-2.25]\'','\'(2.96-3.2]\'',6.6,Iris-virginica
'\'(4.66-5.02]\'','\'(1.55-1.85]\'','\'(2.48-2.72]\'',4.5,Iris-virginica
'\'(7.18-7.54]\'','\'(1.55-1.85]\'','\'(2.72-2.96]\'',6.3,Iris-virginica
'\'(6.46-6.82]\'','\'(1.55-1.85]\'','\'(2.48-2.72]\'',5.8,Iris-virginica
'\'(7.18-7.54]\'','\'(2.25-inf)\'','\'(3.44-3.68]\'',6.1,Iris-virginica
'\'(6.46-6.82]\'','\'(1.85-2.05]\'','\'(2.96-3.2]\'',5.1,Iris-virginica
'\'(6.1-6.46]\'','\'(1.85-2.05]\'','\'(2.48-2.72]\'',5.3,Iris-virginica
'\'(6.46-6.82]\'','\'(2.05-2.25]\'','\'(2.96-3.2]\'',5.5,Iris-virginica
'\'(5.38-5.74]\'','\'(1.85-2.05]\'','\'(2.48-2.72]\'',5,Iris-virginica
'\'(5.74-6.1]\'','\'(2.25-inf)\'','\'(2.72-2.96]\'',5.1,Iris-virginica
'\'(6.1-6.46]\'','\'(2.25-inf)\'','\'(2.96-3.2]\'',5.3,Iris-virginica
'\'(6.46-6.82]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',5.5,Iris-virginica
'\'(7.54-inf)\'','\'(2.05-2.25]\'','\'(3.68-3.92]\'',6.7,Iris-virginica
'\'(7.54-inf)\'','\'(2.25-inf)\'','\'(2.48-2.72]\'',6.9,Iris-virginica
'\'(5.74-6.1]\'','\'(1.35-1.55]\'','\'(-inf-2.24]\'',5,Iris-virginica
'\'(6.82-7.18]\'','\'(2.25-inf)\'','\'(2.96-3.2]\'',5.7,Iris-virginica
'\'(5.38-5.74]\'','\'(1.85-2.05]\'','\'(2.72-2.96]\'',4.9,Iris-virginica
'\'(7.54-inf)\'','\'(1.85-2.05]\'','\'(2.72-2.96]\'',6.7,Iris-virginica
'\'(6.1-6.46]\'','\'(1.55-1.85]\'','\'(2.48-2.72]\'',4.9,Iris-virginica
'\'(6.46-6.82]\'','\'(2.05-2.25]\'','\'(3.2-3.44]\'',5.7,Iris-virginica
'\'(7.18-7.54]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',6,Iris-virginica
'\'(6.1-6.46]\'','\'(1.55-1.85]\'','\'(2.72-2.96]\'',4.8,Iris-virginica
'\'(5.74-6.1]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',4.9,Iris-virginica
'\'(6.1-6.46]\'','\'(2.05-2.25]\'','\'(2.72-2.96]\'',5.6,Iris-virginica
'\'(7.18-7.54]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',5.8,Iris-virginica
'\'(7.18-7.54]\'','\'(1.85-2.05]\'','\'(2.72-2.96]\'',6.1,Iris-virginica
'\'(7.54-inf)\'','\'(1.85-2.05]\'','\'(3.68-3.92]\'',6.4,Iris-virginica
'\'(6.1-6.46]\'','\'(2.05-2.25]\'','\'(2.72-2.96]\'',5.6,Iris-virginica
'\'(6.1-6.46]\'','\'(1.35-1.55]\'','\'(2.72-2.96]\'',5.1,Iris-virginica
'\'(5.74-6.1]\'','\'(1.35-1.55]\'','\'(2.48-2.72]\'',5.6,Iris-virginica
'\'(7.54-inf)\'','\'(2.25-inf)\'','\'(2.96-3.2]\'',6.1,Iris-virginica
'\'(6.1-6.46]\'','\'(2.25-inf)\'','\'(3.2-3.44]\'',5.6,Iris-virginica
'\'(6.1-6.46]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',5.5,Iris-virginica
'\'(5.74-6.1]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',4.8,Iris-virginica
'\'(6.82-7.18]\'','\'(2.05-2.25]\'','\'(2.96-3.2]\'',5.4,Iris-virginica
'\'(6.46-6.82]\'','\'(2.25-inf)\'','\'(2.96-3.2]\'',5.6,Iris-virginica
'\'(6.82-7.18]\'','\'(2.25-inf)\'','\'(2.96-3.2]\'',5.1,Iris-virginica
'\'(5.74-6.1]\'','\'(1.85-2.05]\'','\'(2.48-2.72]\'',5.1,Iris-virginica
'\'(6.46-6.82]\'','\'(2.25-inf)\'','\'(2.96-3.2]\'',5.9,Iris-virginica
'\'(6.46-6.82]\'','\'(2.25-inf)\'','\'(3.2-3.44]\'',5.7,Iris-virginica
'\'(6.46-6.82]\'','\'(2.25-inf)\'','\'(2.96-3.2]\'',5.2,Iris-virginica
'\'(6.1-6.46]\'','\'(1.85-2.05]\'','\'(2.48-2.72]\'',5,Iris-virginica
'\'(6.46-6.82]\'','\'(1.85-2.05]\'','\'(2.96-3.2]\'',5.2,Iris-virginica
'\'(6.1-6.46]\'','\'(2.25-inf)\'','\'(3.2-3.44]\'',5.4,Iris-virginica
'\'(5.74-6.1]\'','\'(1.55-1.85]\'','\'(2.96-3.2]\'',5.1,Iris-virginica
